system	code	display
http://loinc.org	code	display
http://loinc.org	24586-0	MR Brain W anesthesia
http://loinc.org	24587-8	MR Brain WO and W contrast IV
http://loinc.org	24588-6	MR Brain WO and W contrast IV and W anesthesia
http://loinc.org	24589-4	MR Brain W contrast IV
http://loinc.org	24590-2	MR Brain
http://loinc.org	24879-9	MR Pituitary and Sella turcica WO and W contrast IV
http://loinc.org	24880-7	MR Pituitary and Sella turcica
http://loinc.org	30656-3	MR Guidance for stereotactic localization of Brain-- W contrast IV
http://loinc.org	30657-1	MR Brain WO contrast
http://loinc.org	30666-2	MR Pituitary and Sella turcica WO contrast
http://loinc.org	30800-7	MR Guidance for stereotactic localization of Brain-- WO contrast
http://loinc.org	36096-6	MR Brain limited W contrast IV
http://loinc.org	36105-5	MR Brain limited WO contrast
http://loinc.org	36238-4	MR Pituitary and Sella turcica W contrast IV
http://loinc.org	36936-3	MR Guidance for stereotactic biopsy of Brain
http://loinc.org	37215-1	MR Brain and Larynx W contrast IV
http://loinc.org	37217-7	MR Brain stem and Cranial nerves
http://loinc.org	37218-5	MR Brain.temporal
http://loinc.org	37239-1	MR Brain and Internal auditory canal W contrast IV
http://loinc.org	37278-9	MR Brain and Internal auditory canal WO contrast
http://loinc.org	37279-7	MR Brain and Larynx WO contrast
http://loinc.org	42385-5	MR Brain and Pituitary and Sella turcica
http://loinc.org	42386-3	MR Brain cine for CSF flow
http://loinc.org	42391-3	MR Brain and Pituitary and Sella turcica W contrast IV
http://loinc.org	42392-1	MR Brain and Pituitary and Sella turcica WO and W contrast IV
http://loinc.org	42393-9	MR Brain and Pituitary and Sella turcica WO contrast
http://loinc.org	43769-9	MR Brain and Internal auditory canal WO and W contrast IV
http://loinc.org	43772-3	MR Brain and Internal auditory canal
http://loinc.org	44122-0	MR Guidance for stereotactic localization of Brain-- WO and W contrast IV
http://loinc.org	48444-4	MR Brain.temporal W contrast IV
http://loinc.org	48453-5	MR Brain.temporal WO contrast
http://loinc.org	48694-4	MR Brain.temporal WO and W contrast IV
http://loinc.org	80505-1	MR Brain for new diagnosis tumor WO and W contrast IV
http://loinc.org	80506-9	MR Brain for low grade tumor WO and W contrast IV
http://loinc.org	80507-7	MR Brain for high grade tumor WO and W contrast IV
http://loinc.org	80510-1	MR Brain for metastasis WO and W contrast IV
http://loinc.org	80511-9	MR Brain for postoperative
http://loinc.org	82128-0	MR Brain and Face WO contrast
http://loinc.org	82129-8	MR Brain and Face WO and W contrast IV
http://loinc.org	91591-8	MR Brain and Orbit - bilateral W contrast IV
http://loinc.org	91592-6	MR Brain and Orbit - bilateral WO and W contrast IV
http://loinc.org	91593-4	MR Brain and Orbit - bilateral WO contrast
http://loinc.org	94686-3	MR Brain WO and W contrast IV and MRA Brain WO contrast
