system	code	display
http://snomed.info/sct	code	display
http://snomed.info/sct	1003605004	Glaucoma suspect due to diabetes mellitus type 2 (disorder)
http://snomed.info/sct	102621000119101	Ulcer of skin due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	102781000119107	Sensory neuropathy due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	103981000119101	Proliferative retinopathy following surgery due to diabetes mellitus (disorder)
http://snomed.info/sct	104941000119109	Ischemia of retina due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	104951000119106	Vitreous hemorrhage due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	104961000119108	Ischemia of retina due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	106281000119103	Pre-existing diabetes mellitus in mother complicating childbirth (disorder)
http://snomed.info/sct	10656231000119100	Ulcer of skin of toe due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	10656271000119102	Ulcer of skin of toe due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	10660471000119109	Ulcer of left foot due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	10661671000119102	Ulcer of right foot due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	10754881000119104	Diabetes mellitus in mother complicating childbirth (disorder)
http://snomed.info/sct	109171000119104	Retinal edema due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	110141000119100	Ulcer of lower limb due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	110171000119107	Ulcer of lower limb due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	110181000119105	Peripheral sensory neuropathy due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	111231000119109	Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	111307005	Leprechaunism syndrome (disorder)
http://snomed.info/sct	111556005	Ketoacidosis without coma due to diabetes mellitus (disorder)
http://snomed.info/sct	1144894004	Peripheral autonomic neuropathy due to diabetes mellitus (disorder)
http://snomed.info/sct	11530004	Brittle diabetes mellitus (disorder)
http://snomed.info/sct	1172389004	Disorder due to malnutrition related diabetes mellitus (disorder)
http://snomed.info/sct	1196922005	Neovascular glaucoma due to diabetes mellitus type 2 (disorder)
http://snomed.info/sct	1196923000	Neovascular glaucoma due to diabetes mellitus type 1 (disorder)
http://snomed.info/sct	119831000119106	Hypoglycemia unawareness due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	120711000119108	Hypoglycemic unawareness due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	120731000119103	Hypoglycemia due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	1217044000	Ketosis-resistant diabetes mellitus (disorder)
http://snomed.info/sct	1217068008	Fulminant type 1 diabetes mellitus (disorder)
http://snomed.info/sct	1217674007	Neurotrophic keratitis due to diabetes mellitus (disorder)
http://snomed.info/sct	123763000	Houssays syndrome (disorder)
http://snomed.info/sct	1251386008	Disorder of skin due to diabetes mellitus (disorder)
http://snomed.info/sct	1255271005	Type 1 diabetes mellitus, central and peripheral neurodegeneration syndrome (disorder)
