system	code	display
http://snomed.info/sct	code	display
http://snomed.info/sct	101000119102	Numbness and tingling sensation of skin (finding)
http://snomed.info/sct	102601005	Perioral numbness (finding)
http://snomed.info/sct	102603008	Numbness of skin (finding)
http://snomed.info/sct	102938007	Difficulty writing (finding)
http://snomed.info/sct	102958008	Increased polarization of nerve cell and nerve fiber (finding)
http://snomed.info/sct	102988004	Abnormal straight line walking test (finding)
http://snomed.info/sct	102991004	Abnormal eyes closed straight line walking test (finding)
http://snomed.info/sct	102992006	Scissors gait on eyes closed straight line walking test (finding)
http://snomed.info/sct	102993001	Deviation to one side on eyes closed straight line walking test (finding)
http://snomed.info/sct	102996009	Cryesthesia (finding)
http://snomed.info/sct	102997000	Psychroalgia (finding)
http://snomed.info/sct	102998005	Cold sensation absent (finding)
http://snomed.info/sct	102999002	Cryalgesia (finding)
http://snomed.info/sct	103000001	Crymodynia (finding)
http://snomed.info/sct	103003004	Impaired body position sense (finding)
http://snomed.info/sct	103005006	Inadequate analgesia (finding)
http://snomed.info/sct	103019006	Bulging fontanelle (finding)
http://snomed.info/sct	10325006	Anomic aphasia (finding)
http://snomed.info/sct	103257003	Abnormal lateral conjugate gaze (finding)
http://snomed.info/sct	106145009	Motor nervous system finding (finding)
http://snomed.info/sct	106169008	Aphasia, agnosia, dyslexia AND/OR apraxia (finding)
http://snomed.info/sct	110362007	Absent acmesthesia (finding)
http://snomed.info/sct	11145003	Single limb ataxia (finding)
http://snomed.info/sct	11193009	Metallic taste (finding)
http://snomed.info/sct	112102006	Atypical neuralgia (finding)
http://snomed.info/sct	112105008	Sense of smell altered (finding)
http://snomed.info/sct	112107000	Primary bitter taste disorder (disorder)
http://snomed.info/sct	1140008	Thermal hypesthesia (finding)
http://snomed.info/sct	11800000	Subcortical alexia (finding)
http://snomed.info/sct	119416008	Epigastric discomfort (finding)
http://snomed.info/sct	12273009	Non-rhythmic abnormal eye movement (finding)
http://snomed.info/sct	124868006	Receptor site alteration (finding)
http://snomed.info/sct	124869003	Increase in receptor sites (finding)
http://snomed.info/sct	124870002	Decrease in receptor sites (finding)
http://snomed.info/sct	124871003	Absence of receptor sites (finding)
http://snomed.info/sct	124872005	Surface receptor redistribution (finding)
http://snomed.info/sct	12869004	Primary salt taste disorder (disorder)
http://snomed.info/sct	129609000	Spinocerebellar ataxia (disorder)
http://snomed.info/sct	129860001	Kinesthetic alteration (finding)
http://snomed.info/sct	13028004	Abnormal nervous system function (finding)
http://snomed.info/sct	13044008	Associative aphasia (finding)
http://snomed.info/sct	130979001	Comfort alteration (finding)
http://snomed.info/sct	130980003	Decreased vibratory sense (finding)
http://snomed.info/sct	130984007	Tactile alteration (finding)
http://snomed.info/sct	130985008	Disturbed sensory perception (finding)
http://snomed.info/sct	130990006	Transcortical aphasia (finding)
http://snomed.info/sct	13106001	Absence of 2-point discrimination (finding)
http://snomed.info/sct	131182003	Visual alteration (finding)
http://snomed.info/sct	135810007	Delayed myelination (finding)
http://snomed.info/sct	135873002	Transient paresthesia (finding)
http://snomed.info/sct	14150005	Alteration in comfort: chronic pain (finding)
http://snomed.info/sct	14151009	Hyperesthesia (finding)
http://snomed.info/sct	14686007	Hemianesthesia (finding)
http://snomed.info/sct	16170002	Musical alexia (finding)
http://snomed.info/sct	16171003	Double athetosis (disorder)
http://snomed.info/sct	162024005	Difficulty swallowing solids (finding)
http://snomed.info/sct	162025006	Difficulty swallowing fluid (finding)
http://snomed.info/sct	162200009	Temporary loss of memory (finding)
http://snomed.info/sct	162248005	Prickling sensation of skin (finding)
http://snomed.info/sct	162335008	Transient neurological symptoms (finding)
http://snomed.info/sct	16269008	Neuralgia (finding)
http://snomed.info/sct	16831006	Indifference to pain (finding)
http://snomed.info/sct	17360003	Hippocampal pressure groove (finding)
http://snomed.info/sct	17450006	Myoclonus (finding)
http://snomed.info/sct	18156008	Abdominal hyperesthesia (finding)
http://snomed.info/sct	18358003	Prosopagnosia (finding)
http://snomed.info/sct	18618006	Aura (finding)
http://snomed.info/sct	192071009	Mild memory disturbance (finding)
http://snomed.info/sct	192138007	Developmental dyslexia (disorder)
http://snomed.info/sct	192871008	Early onset cerebellar ataxia with myoclonus (disorder)
http://snomed.info/sct	192874000	Cerebellar ataxia associated with another disorder (disorder)
http://snomed.info/sct	192970008	Cauda equina syndrome (disorder)
http://snomed.info/sct	192971007	Cauda equina syndrome not affecting bladder (disorder)
http://snomed.info/sct	193722001	Low vision, both eyes (disorder)
http://snomed.info/sct	194177006	Opsoclonia (finding)
http://snomed.info/sct	19557000	Hyperexplexia (finding)
http://snomed.info/sct	198030008	Periodic paralysis (finding)
http://snomed.info/sct	20262006	Ataxia (finding)
http://snomed.info/sct	20301004	Dysphasia (finding)
http://snomed.info/sct	20361002	Alteration in comfort: pain (finding)
http://snomed.info/sct	2070002	Burning sensation in eye (finding)
http://snomed.info/sct	20818009	Dissociated spinal nerve sensory loss (finding)
http://snomed.info/sct	20930002	Anosognosia (finding)
http://snomed.info/sct	220363002	Central nervous system deficit (finding)
http://snomed.info/sct	22281006	Pseudogeusesthesia (finding)
http://snomed.info/sct	225897003	Smiles spontaneously (finding)
http://snomed.info/sct	228147004	Gross motor impairment (finding)
http://snomed.info/sct	228148009	Fine motor impairment (finding)
http://snomed.info/sct	229654003	Brocas dysphasia (finding)
http://snomed.info/sct	229664007	Receptive dysphasia (disorder)
http://snomed.info/sct	229665008	Expressive dysphasia (finding)
http://snomed.info/sct	229666009	Efferent motor dysphasia (finding)
http://snomed.info/sct	229677003	Deep dysgraphia (finding)
http://snomed.info/sct	229678008	Phonological dysgraphia (finding)
http://snomed.info/sct	229679000	Surface dysgraphia (finding)
http://snomed.info/sct	229680002	Deep dyslexia (finding)
http://snomed.info/sct	229681003	Phonological dyslexia (finding)
http://snomed.info/sct	229682005	Surface dyslexia (finding)
http://snomed.info/sct	229684006	Spastic dysarthria (finding)
http://snomed.info/sct	229685007	Flaccid dysarthria (finding)
http://snomed.info/sct	229686008	Mixed dysarthria (finding)
http://snomed.info/sct	229687004	Cerebellar dysarthria (finding)
http://snomed.info/sct	229688009	Extrapyramidal dysarthria (finding)
http://snomed.info/sct	229690005	Dysarthriapneumophonia (finding)
http://snomed.info/sct	229691009	Dysarthria of velopharynx (finding)
http://snomed.info/sct	229747003	Developmental dysphasia (finding)
http://snomed.info/sct	229749000	Congenital auditory agnosia (finding)
http://snomed.info/sct	23011003	Global aphasia (finding)
http://snomed.info/sct	230227009	Early onset cerebellar ataxia (disorder)
http://snomed.info/sct	230228004	Early onset cerebellar ataxia with retained tendon reflexes (disorder)
http://snomed.info/sct	230229007	Early onset cerebellar ataxia with hypogonadism (disorder)
http://snomed.info/sct	230230002	Early onset cerebellar ataxia with retinitis pigmentosa and optic atrophy (disorder)
http://snomed.info/sct	230231003	Early onset cerebellar ataxia with essential tremor (disorder)
http://snomed.info/sct	230232005	Late onset cerebellar ataxia (disorder)
http://snomed.info/sct	230233000	Progressive cerebellar ataxia (disorder)
http://snomed.info/sct	230234006	Periodic ataxia (disorder)
http://snomed.info/sct	230235007	Olivopontocerebellar atrophy with slow eye movement (disorder)
http://snomed.info/sct	230236008	Olivopontocerebellar atrophy with blindness (disorder)
http://snomed.info/sct	230237004	Progressive spinocerebellar ataxia with decreased tendon reflexes (disorder)
http://snomed.info/sct	230238009	Progressive spinocerebellar ataxia with retained tendon reflexes (disorder)
http://snomed.info/sct	230239001	Progressive cerebellar ataxia with palatal myoclonus (disorder)
http://snomed.info/sct	230240004	Progressive cerebellar ataxia with hypogonadism (disorder)
http://snomed.info/sct	230279005	Non-Alzheimers progressive dysphasia (disorder)
http://snomed.info/sct	230336005	Vocal tic disorder (disorder)
http://snomed.info/sct	230337001	Motor tic disorder (disorder)
http://snomed.info/sct	230736007	Transient global amnesia (finding)
http://snomed.info/sct	23133003	Dysdiadochokinesis (finding)
http://snomed.info/sct	23168003	Speech dysfunction (finding)
http://snomed.info/sct	23869008	Literal paraphasia (finding)
http://snomed.info/sct	23924001	Tight chest (finding)
http://snomed.info/sct	24057006	Combined aphasia (finding)
http://snomed.info/sct	24067001	Central paraphasia (finding)
http://snomed.info/sct	242027005	Paralysis following electric shock (finding)
http://snomed.info/sct	24234009	Hemihypalgesia (finding)
http://snomed.info/sct	24480009	Abnormal nerve conduction (finding)
http://snomed.info/sct	24500009	Autotopagnosia (finding)
http://snomed.info/sct	246636008	Hazy vision (disorder)
http://snomed.info/sct	246779003	Vestibulo-ocular input on whole body rotation (finding)
http://snomed.info/sct	247318005	Abnormal taste in mouth (finding)
http://snomed.info/sct	247319002	Taste of food lingers (finding)
http://snomed.info/sct	247320008	Things smell different (finding)
http://snomed.info/sct	247321007	Unusual smell in nose (finding)
http://snomed.info/sct	247322000	Abnormal sensation (finding)
http://snomed.info/sct	247323005	Tightness in throat (finding)
http://snomed.info/sct	247334008	Sensation as if period due (finding)
http://snomed.info/sct	247335009	Sensation as if urinary bladder still full (finding)
http://snomed.info/sct	247336005	Persistent abdominal sensation after micturition (finding)
http://snomed.info/sct	247337001	Persistent perineal sensation after micturition (finding)
http://snomed.info/sct	247338006	Sensation as if bowel still full (finding)
http://snomed.info/sct	247339003	Sensation as if stool remains in rectum (finding)
http://snomed.info/sct	247340001	Sensation as if diarrhea will start (finding)
http://snomed.info/sct	247341002	Sensation of swelling (finding)
http://snomed.info/sct	247342009	Foreign body sensation (finding)
http://snomed.info/sct	247402000	Low tolerance of pain (finding)
http://snomed.info/sct	247404004	Allodynia (finding)
http://snomed.info/sct	247407006	High tolerance of pain (finding)
http://snomed.info/sct	247592009	Poor short-term memory (finding)
http://snomed.info/sct	247994001	Noise intolerance (finding)
http://snomed.info/sct	248024008	Finding of delayed reaction time (finding)
http://snomed.info/sct	248145004	Inappropriate movement of face (finding)
http://snomed.info/sct	24982008	Diplopia (disorder)
http://snomed.info/sct	249939004	Proximal muscle weakness (finding)
http://snomed.info/sct	250062002	Arms ataxic (finding)
http://snomed.info/sct	250065000	Legs ataxic (finding)
http://snomed.info/sct	250067008	Truncal ataxia (finding)
http://snomed.info/sct	25045008	Motor level spinal paralysis (finding)
http://snomed.info/sct	25094008	Tactile agnosia (finding)
http://snomed.info/sct	251566000	Motor nerve conduction block (finding)
http://snomed.info/sct	251567009	Repetitive discharge on single stimulus (finding)
http://snomed.info/sct	251572000	Amplitude decrement at low rate (2-3Hz) (finding)
http://snomed.info/sct	251573005	Amplitude increment at high rate (20-50Hz) (finding)
http://snomed.info/sct	251574004	Finding of post-activation (tetanic) potentiation (finding)
