"system","code","display"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.0","Neurofibromatosis (nonmalignant)"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.0","Neurofibromatosis (nonmalignant)"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.00","Neurofibromatosis, unspecified"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.01","Neurofibromatosis, type 1"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.01","Von Recklinghausen disease"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.02","Acoustic neurofibromatosis"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.02","Neurofibromatosis, type 2"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.03","Schwannomatosis"
"http://hl7.org/fhir/sid/icd-10-cm","Q85.09","Other neurofibromatosis"
"http://hl7.org/fhir/sid/icd-9-cm","237.7","Neurofibromatosis"
"http://hl7.org/fhir/sid/icd-9-cm","237.70","Neurofibromatosis NOS"
"http://hl7.org/fhir/sid/icd-9-cm","237.71","Neurofibromatosis type I"
"http://hl7.org/fhir/sid/icd-9-cm","237.72","Neurofibromatosis typ II"
"http://hl7.org/fhir/sid/icd-9-cm","237.79","Neurofibromatosis NEC"
"http://snomed.info/sct","1003465006","Familial spinal neurofibromatosis"
"http://snomed.info/sct","1010653007","Segmental neurofibromatosis type 1"
"http://snomed.info/sct","115242003","Neurofibromas"
"http://snomed.info/sct","1156930004","Benign neurofibroma"
"http://snomed.info/sct","1208340009","Neurofibromatosis type 6"
"http://snomed.info/sct","1217489007","Neurofibroma of gingiva"
"http://snomed.info/sct","1268905005","Primary neurofibrosarcoma"
"http://snomed.info/sct","1290945007","Atypical neurofibroma"
"http://snomed.info/sct","1290951002","Cellular neurofibroma"
"http://snomed.info/sct","1293071007","Cellular neurofibroma"
"http://snomed.info/sct","1300197001","Mosaic neurofibromatosis 1-like syndrome"
"http://snomed.info/sct","1304118001","Mosaic neurofibromatosis type 1"
"http://snomed.info/sct","1304119009","Mosaic neurofibromatosis type 2"
"http://snomed.info/sct","1332358007","Full neurofibromatosis type 3"
"http://snomed.info/sct","134214003","[M]Neurofibromas"
"http://snomed.info/sct","154642000","Neurofibromatosis"
"http://snomed.info/sct","177279004","Excision of neurofibromata"
"http://snomed.info/sct","189947001","[M]Neurofibroma NOS"
"http://snomed.info/sct","19133005","Clinical neurofibromatosis"
"http://snomed.info/sct","19133005","Neurofibromatosis syndrome"
"http://snomed.info/sct","19897006","Neurofibrosarcoma"
"http://snomed.info/sct","203663000","Scoliosis in neurofibromatosis"
"http://snomed.info/sct","233717003","Diffuse pulmonary neurofibromatosis"
"http://snomed.info/sct","253041002","Pigmented storiform neurofibroma"
"http://snomed.info/sct","253085000","Circumscribed neurofibroma"
"http://snomed.info/sct","253085000","Solitary neurofibroma"
"http://snomed.info/sct","254240003","Neurofibromatosis type 3"
"http://snomed.info/sct","254241004","Segmental neurofibromatosis"
"http://snomed.info/sct","254242006","Diffuse neurofibroma"
"http://snomed.info/sct","254759000","Cutaneous neurofibroma"
"http://snomed.info/sct","254761009","Cutaneous neurofibroma"
"http://snomed.info/sct","254762002","Cutaneous storiform neurofibroma"
"http://snomed.info/sct","255000005","Neurofibroma of orbit"
"http://snomed.info/sct","255023008","Neurofibroma of choroid"
"http://snomed.info/sct","28237007","Melanotic neurofibroma"
"http://snomed.info/sct","314514005","Neurofibroma of eyelid"
"http://snomed.info/sct","398670003","Pigmented storiform neurofibroma"
"http://snomed.info/sct","40289009","Excision of neurofibroma, extensive"
"http://snomed.info/sct","403815003","Axillary freckling due to neurofibromatosis"
"http://snomed.info/sct","403816002","Multiple cafe-au-lait macules due to neurofibromatosis"
"http://snomed.info/sct","403817006","Multiple neurofibromas in neurofibromatosis"
"http://snomed.info/sct","403818001","Plexiform neurofibroma"
"http://snomed.info/sct","403819009","Elephantiasis neurofibromatosa"
"http://snomed.info/sct","403822006","Familial multiple cafe-au-lait macules without neurofibromatosis"
"http://snomed.info/sct","404029005","Neurofibroma"
"http://snomed.info/sct","404030000","Solitary neurofibroma"
"http://snomed.info/sct","404031001","Myxoid neurofibroma"
"http://snomed.info/sct","404032008","Epithelioid neurofibroma"
"http://snomed.info/sct","404033003","Pacinian neurofibroma"
"http://snomed.info/sct","404037002","Neurofibrosarcoma"
"http://snomed.info/sct","405830009","Neurofibromatosis type 1 protein"
"http://snomed.info/sct","405832001","Neurofibromatosis type 1 mutation carrier detection test (procedure)"
"http://snomed.info/sct","405833006","Neurofibromatosis type 2 protein"
"http://snomed.info/sct","405836003","Neurofibromatosis type 2 mutation carrier detection test (procedure)"
"http://snomed.info/sct","41252002","Plexiform neurofibroma"
"http://snomed.info/sct","4230004","Pacinian neurofibroma"
"http://snomed.info/sct","425327002","Neurofibroma of subcutaneous tissue"
"http://snomed.info/sct","425327002","Subcutaneous neurofibroma"
"http://snomed.info/sct","448562000","Neurofibroma of upper limb"
"http://snomed.info/sct","58057001","Excision of neurofibroma of cutaneous nerve (procedure)"
"http://snomed.info/sct","65021000119105","Family history of neurofibromatosis (situation)"
"http://snomed.info/sct","687061000119103","Neurofibroma of abdomen"
"http://snomed.info/sct","687081000119107","Neurofibroma of chest"
"http://snomed.info/sct","687081000119107","Neurofibroma of thorax"
"http://snomed.info/sct","687091000119105","Neurofibroma of face"
"http://snomed.info/sct","687101000119100","Neurofibroma of hand"
"http://snomed.info/sct","687111000119102","Neurofibroma of head"
"http://snomed.info/sct","687121000119109","Neurofibroma of leg"
"http://snomed.info/sct","687121000119109","Neurofibroma of lower limb"
"http://snomed.info/sct","687131000119107","Neurofibroma of neck"
