system	code	display
http://snomed.info/sct	code	display
http://snomed.info/sct	1003375005	Metachromatic leukodystrophy due to sphingolipid activator protein I deficiency (disorder)
http://snomed.info/sct	1003378007	Optic nerve hypoplasia due to endocrine deficiency (disorder)
http://snomed.info/sct	1003422005	Hypoplasia of optic nerve due to central nervous system malformation (disorder)
http://snomed.info/sct	1003447007	Pelizaeus-Merzbacher disease null syndrome (disorder)
http://snomed.info/sct	1003881009	Pelizaeus-Merzbacher disease in female carrier (disorder)
http://snomed.info/sct	1004090008	Entrapment of left ulnar nerve at elbow (disorder)
http://snomed.info/sct	1004092000	Entrapment of right ulnar nerve at elbow (disorder)
http://snomed.info/sct	1010229008	Neural hearing loss of left ear (disorder)
http://snomed.info/sct	1010230003	Neural hearing loss of right ear (disorder)
http://snomed.info/sct	101461000119102	Musculocutaneous nerve palsy (disorder)
http://snomed.info/sct	101611000119103	Traumatic neuroma of lower limb (disorder)
http://snomed.info/sct	101631000119108	Traumatic neuroma of upper limb (disorder)
http://snomed.info/sct	10277002	Cerebellopontine angle syndrome (disorder)
http://snomed.info/sct	102781000119107	Sensory neuropathy due to type 1 diabetes mellitus (disorder)
http://snomed.info/sct	10521000119108	Common peroneal neuropathy at the fibular head (disorder)
http://snomed.info/sct	10698009	Herpes zoster iridocyclitis (disorder)
http://snomed.info/sct	1081251000119109	Glioma of left optic nerve (disorder)
http://snomed.info/sct	1081261000119106	Glioma of right optic nerve (disorder)
http://snomed.info/sct	1082781000119102	Disorder of bilateral acoustic nerves (disorder)
http://snomed.info/sct	1082791000119104	Acoustic neuritis of bilateral ears due to infectious disease (disorder)
http://snomed.info/sct	10846221000119106	Injury of right lateral plantar nerve (disorder)
http://snomed.info/sct	10846261000119101	Injury of left lateral plantar nerve (disorder)
http://snomed.info/sct	10846301000119109	Injury of cutaneous sensory nerve of toe of left foot (disorder)
http://snomed.info/sct	10846541000119103	Injury of cutaneous sensory nerve of toe of right foot (disorder)
http://snomed.info/sct	1084691000119100	Vestibular neuronitis of bilateral inner ears (disorder)
http://snomed.info/sct	1084701000119100	Disorder of bilateral vestibular nerves (disorder)
http://snomed.info/sct	10852821000119109	Traumatic injury of digital nerve of right ring finger (disorder)
http://snomed.info/sct	10852861000119104	Traumatic injury of digital nerve of left ring finger (disorder)
http://snomed.info/sct	10852901000119105	Traumatic injury of digital nerve of right little finger (disorder)
http://snomed.info/sct	10852941000119107	Traumatic injury of digital nerve of left little finger (disorder)
http://snomed.info/sct	1085371000119105	Polyneuropathy due to cytomegaloviral mononucleosis (disorder)
http://snomed.info/sct	1086061000119109	Diphtheria radiculomyelitis (disorder)
http://snomed.info/sct	10861091000119102	Traumatic injury of right femoral nerve (disorder)
http://snomed.info/sct	10861131000119100	Traumatic injury of left femoral nerve (disorder)
http://snomed.info/sct	10861171000119102	Injury of right tibial nerve (disorder)
http://snomed.info/sct	10861211000119100	Injury of left tibial nerve (disorder)
http://snomed.info/sct	10861251000119104	Injury of right sciatic nerve (disorder)
http://snomed.info/sct	10861291000119109	Injury of left sciatic nerve (disorder)
http://snomed.info/sct	10865871000119107	Injury of peripheral nerve of thorax (disorder)
http://snomed.info/sct	1087891000119107	Disorder of left acoustic nerve (disorder)
http://snomed.info/sct	1087901000119106	Acoustic neuritis of left ear due to infectious disease (disorder)
http://snomed.info/sct	1089701000119101	Vestibular neuronitis of left inner ear (disorder)
http://snomed.info/sct	1089711000119103	Disorder of left vestibular nerve (disorder)
http://snomed.info/sct	1089801000119108	Meningococcal retrobulbar neuritis (disorder)
http://snomed.info/sct	10899671000119109	Injury of right oculomotor nerve (disorder)
http://snomed.info/sct	10899711000119108	Injury of left oculomotor nerve (disorder)
http://snomed.info/sct	10899751000119109	Injury of right trochlear nerve (disorder)
http://snomed.info/sct	10899791000119104	Injury of left trochlear nerve (disorder)
http://snomed.info/sct	10899831000119105	Injury of left abducens nerve (disorder)
http://snomed.info/sct	10901331000119109	Injury of right facial nerve (disorder)
http://snomed.info/sct	10901371000119107	Injury of left facial nerve (disorder)
http://snomed.info/sct	10901411000119108	Injury of right trigeminal nerve (disorder)
http://snomed.info/sct	10901451000119109	Injury of left trigeminal nerve (disorder)
http://snomed.info/sct	10901491000119104	Injury of right accessory nerve (disorder)
http://snomed.info/sct	10901531000119104	Injury of left accessory nerve (disorder)
http://snomed.info/sct	10901571000119101	Injury of right vagus nerve (disorder)
http://snomed.info/sct	10901611000119105	Injury of left vagus nerve (disorder)
http://snomed.info/sct	10901651000119106	Injury of right acoustic nerve (disorder)
http://snomed.info/sct	10901691000119101	Injury of left acoustic nerve (disorder)
http://snomed.info/sct	10901731000119108	Injury of right hypoglossal nerve (disorder)
http://snomed.info/sct	10901771000119106	Injury of left hypoglossal nerve (disorder)
http://snomed.info/sct	1090231000119107	Polyneuropathy due to infectious mononucleosis (disorder)
http://snomed.info/sct	1090511000119100	Disorder of right acoustic nerve (disorder)
http://snomed.info/sct	1090521000119107	Acoustic neuritis of right ear due to infectious disease (disorder)
http://snomed.info/sct	1092311000119106	Vestibular neuronitis of right inner ear (disorder)
http://snomed.info/sct	1092321000119104	Disorder of right vestibular nerve (disorder)
http://snomed.info/sct	1092771000119104	Tuberculous neuritis (disorder)
http://snomed.info/sct	10954781000119103	Injury of left axillary nerve (disorder)
http://snomed.info/sct	10954821000119108	Injury of right axillary nerve (disorder)
http://snomed.info/sct	10962431000119108	Injury of left musculocutaneous nerve (disorder)
http://snomed.info/sct	10962471000119106	Injury of right musculocutaneous nerve (disorder)
http://snomed.info/sct	10962511000119102	Injury of right peroneal nerve (disorder)
http://snomed.info/sct	10962551000119101	Injury of left peroneal nerve (disorder)
http://snomed.info/sct	10962591000119106	Traumatic injury of digital nerve of right thumb (disorder)
http://snomed.info/sct	10962631000119106	Traumatic injury of digital nerve of left thumb (disorder)
http://snomed.info/sct	10972861000119106	Injury of digital nerve of finger of right hand (disorder)
http://snomed.info/sct	10972901000119100	Traumatic injury of digital nerve of right index finger (disorder)
http://snomed.info/sct	10972941000119103	Traumatic injury of digital nerve of right middle finger (disorder)
http://snomed.info/sct	10972981000119108	Injury of digital nerve of finger of left hand (disorder)
http://snomed.info/sct	10973041000119109	Traumatic injury of digital nerve of left index finger (disorder)
http://snomed.info/sct	10973081000119104	Traumatic injury of digital nerve of left middle finger (disorder)
http://snomed.info/sct	10973901000119108	Injury of right abducens nerve (disorder)
http://snomed.info/sct	109917000	Neoplasm of uncertain behavior of peripheral nerves and peripheral autonomic nervous system (disorder)
http://snomed.info/sct	109918005	Primary malignant neoplasm of peripheral nerves and peripheral autonomic nervous system (disorder)
http://snomed.info/sct	109919002	Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system (disorder)
http://snomed.info/sct	109921007	Primary malignant neoplasm of peripheral nerve of head, face and/or neck (disorder)
http://snomed.info/sct	109922000	Benign neoplasm of peripheral nerves of head (disorder)
http://snomed.info/sct	109923005	Primary malignant neoplasm of peripheral nerves of head (disorder)
http://snomed.info/sct	109924004	Benign neoplasm of peripheral nerves of face (disorder)
http://snomed.info/sct	109925003	Primary malignant neoplasm of peripheral nerves of face (disorder)
http://snomed.info/sct	109926002	Benign neoplasm of peripheral nerves of neck (disorder)
http://snomed.info/sct	109927006	Primary malignant neoplasm of peripheral nerves of neck (disorder)
http://snomed.info/sct	109930004	Benign neoplasm of peripheral nerves of upper limb (disorder)
http://snomed.info/sct	109931000	Primary malignant neoplasm of peripheral nerves of upper limb (disorder)
http://snomed.info/sct	109932007	Benign neoplasm of peripheral nerves of shoulder (disorder)
http://snomed.info/sct	109933002	Primary malignant neoplasm of peripheral nerves of shoulder (disorder)
http://snomed.info/sct	109936005	Benign neoplasm of peripheral nerves of lower limb (disorder)
http://snomed.info/sct	109937001	Primary malignant neoplasm of peripheral nerves of lower limb (disorder)
http://snomed.info/sct	109938006	Benign neoplasm of peripheral nerves of hip (disorder)
http://snomed.info/sct	109939003	Primary malignant neoplasm of peripheral nerves of hip (disorder)
http://snomed.info/sct	109940001	Benign neoplasm of peripheral nerves of thorax (disorder)
http://snomed.info/sct	109941002	Primary malignant neoplasm of peripheral nerves of thorax (disorder)
http://snomed.info/sct	109942009	Benign neoplasm of peripheral nerves of abdomen (disorder)
http://snomed.info/sct	109943004	Primary malignant neoplasm of peripheral nerves of abdomen (disorder)
http://snomed.info/sct	109944005	Benign neoplasm of peripheral nerve of pelvic region (disorder)
http://snomed.info/sct	109945006	Primary malignant neoplasm of peripheral nerves of pelvis region (disorder)
http://snomed.info/sct	109946007	Benign neoplasm of peripheral nerves of trunk (disorder)
http://snomed.info/sct	109947003	Primary malignant neoplasm of peripheral nerves of trunk (disorder)
http://snomed.info/sct	110181000119105	Peripheral sensory neuropathy due to type 2 diabetes mellitus (disorder)
http://snomed.info/sct	11045000	Supranuclear facial nerve paralysis (disorder)
http://snomed.info/sct	11049006	Cervical radiculitis (disorder)
http://snomed.info/sct	110952161000119106	Endometriosis of sciatic nerve (disorder)
http://snomed.info/sct	111236008	Compression of spinal nerve root (disorder)
http://snomed.info/sct	111338006	Agenesis of nerve (disorder)
http://snomed.info/sct	111465000	Erb-Duchenne palsy as birth trauma (disorder)
http://snomed.info/sct	111499002	Déjérine-Sottas disease (disorder)
http://snomed.info/sct	111527005	Partial optic atrophy (disorder)
http://snomed.info/sct	111633007	Open fracture of sacrum AND/OR coccyx with complete cauda equina lesion (disorder)
http://snomed.info/sct	1119281000	Diffuse unilateral subacute neuroretinitis (disorder)
http://snomed.info/sct	1142031005	Optic atrophy due to late congenital syphilis (disorder)
http://snomed.info/sct	1142100001	Disorder of nerve due to obstetric fistula (disorder)
http://snomed.info/sct	1142203007	Palsy of laryngeal nerve due to birth trauma (disorder)
http://snomed.info/sct	11442006	Hereditary sensory neuropathy (disorder)
http://snomed.info/sct	1144332006	Atrophy of axon of peripheral nerve structure (disorder)
http://snomed.info/sct	1144333001	Atrophy of sural nerve (disorder)
http://snomed.info/sct	1144396007	Congenital hypoplasia of vestibular nerve (disorder)
http://snomed.info/sct	1144624009	Congenital absence of myelination of peripheral nerve (disorder)
http://snomed.info/sct	1144894004	Peripheral autonomic neuropathy due to diabetes mellitus (disorder)
http://snomed.info/sct	1144902007	Mononeuritis multiplex due to cryoglobulinemic vasculitis (disorder)
http://snomed.info/sct	1144906005	Mononeuritis multiplex due to vasculitis (disorder)
http://snomed.info/sct	1144936001	Polyneuropathy due to gammaherpesviral mononucleosis (disorder)
http://snomed.info/sct	1145213009	Neuritis due to displacement of intervertebral disc (disorder)
http://snomed.info/sct	1145215002	Radiculitis due to displacement of intervertebral disc (disorder)
http://snomed.info/sct	1145216001	Brachial neuritis due to displacement of cervical intervertebral disc (disorder)
http://snomed.info/sct	1145217005	Radiculitis due to displacement of cervical intervertebral disc (disorder)
http://snomed.info/sct	1145219008	Brachial neuritis due to rupture of cervical intervertebral disc (disorder)
http://snomed.info/sct	1145220002	Radiculitis due to rupture of cervical intervertebral disc (disorder)
http://snomed.info/sct	1145222005	Neuritis due to rupture of intervertebral disc (disorder)
http://snomed.info/sct	1145223000	Radiculitis due to rupture of lumbar intervertebral disc (disorder)
http://snomed.info/sct	1145224006	Neuritis due to rupture of lumbar intervertebral disc (disorder)
http://snomed.info/sct	1145225007	Neuritis due to rupture of cervical intervertebral disc (disorder)
http://snomed.info/sct	1145239007	Neuritis due to displacement of lumbar intervertebral disc (disorder)
http://snomed.info/sct	1145240009	Radiculitis due to displacement of lumbar intervertebral disc (disorder)
http://snomed.info/sct	1145244000	Radiculitis due to rupture of intervertebral disc (disorder)
http://snomed.info/sct	1149028005	Hypertrophic interstitial neuropathy of trigeminal nerve (disorder)
http://snomed.info/sct	1153623003	Disorder of nerve due to metabolic disease (disorder)
http://snomed.info/sct	1155933006	Distal symmetrical polyneuropathy (disorder)
http://snomed.info/sct	1156768008	Ovarioleukodystrophy (disorder)
http://snomed.info/sct	1156772007	Sclerosing perineurioma of peripheral nerve (disorder)
http://snomed.info/sct	1156780000	Reticular perineurioma of peripheral nerve (disorder)
http://snomed.info/sct	1156823006	Autosomal recessive bilateral optic atrophy (disorder)
http://snomed.info/sct	1156827007	Inverse Marcus-Gunn phenomenon (disorder)
http://snomed.info/sct	1156835005	Autosomal dominant Charcot-Marie-Tooth disease type 2 (disorder)
http://snomed.info/sct	1156837002	Autosomal dominant distal hereditary motor neuropathy (disorder)
http://snomed.info/sct	1156840002	X-linked distal hereditary motor neuropathy (disorder)
http://snomed.info/sct	1156850001	Autosomal recessive distal hereditary motor neuropathy (disorder)
http://snomed.info/sct	1156852009	Autosomal recessive Charcot-Marie-Tooth disease type 2 (disorder)
http://snomed.info/sct	1156962001	Radiculopathy due to multiple-level cervical spondylosis (disorder)
http://snomed.info/sct	1156964000	Radiculopathy due to single-level cervical spondylosis (disorder)
http://snomed.info/sct	1156966003	Radiculopathy due to cervical spondylosis (disorder)
http://snomed.info/sct	1156968002	Radiculopathy due to two-level cervical spondylosis (disorder)
http://snomed.info/sct	1163079004	Polyneuropathy caused by human Cytomegalovirus 5 (disorder)
http://snomed.info/sct	1163136004	Infection of peripheral nerve caused by bacterium (disorder)
http://snomed.info/sct	1163137008	Infection of cranial nerve caused by bacterium (disorder)
http://snomed.info/sct	1163499003	Infection of cranial nerve caused by fungus (disorder)
http://snomed.info/sct	11659006	Uremic neuropathy (disorder)
http://snomed.info/sct	1169360001	Chronic relapsing inflammatory optic neuropathy (disorder)
http://snomed.info/sct	1172585006	Membrane metalloendopeptidase related autosomal dominant Charcot Marie Tooth disease type 2 (disorder)
http://snomed.info/sct	1172586007	Ocular anomalies, axonal neuropathy, developmental delay syndrome (disorder)
http://snomed.info/sct	1172593006	Early-onset progressive diffuse brain atrophy, microcephaly, muscle weakness, optic atrophy syndrome (disorder)
http://snomed.info/sct	1172595004	C11ORF73-related autosomal recessive hypomyelinating leukodystrophy (disorder)
http://snomed.info/sct	1172634009	Autosomal dominant Charcot-Marie-Tooth disease type 2W (disorder)
http://snomed.info/sct	1172684002	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to diacylglycerol O-acyltransferase 2 mutation (disorder)
http://snomed.info/sct	1172692006	X-linked keloid scarring, reduced joint mobility, increased optic cup-to-disc ratio syndrome (disorder)
http://snomed.info/sct	1172701002	Facial diplegia with paresthesia (disorder)
http://snomed.info/sct	1172793008	Malignant peripheral nerve sheath tumor of gingival mucosa (disorder)
http://snomed.info/sct	1172838005	Hereditary sensory and autonomic neuropathy type 8 (disorder)
http://snomed.info/sct	1172840000	Benign schwannoma of nerve of gingival mucosa (disorder)
http://snomed.info/sct	1176984002	Polyneuropathy caused by Mycobacterium leprae (disorder)
http://snomed.info/sct	1177010008	Infection of peripheral nerve (disorder)
http://snomed.info/sct	1177011007	Infection of nerve caused by Fungi (disorder)
http://snomed.info/sct	1177014004	Infection of nerve caused by Bacteria (disorder)
http://snomed.info/sct	1177020003	Infection of cranial nerve caused by parasite (disorder)
http://snomed.info/sct	1177034003	Infection of peripheral nerve caused by parasite (disorder)
http://snomed.info/sct	1179028000	Avulsion of inferior alveolar nerve due to osteotomy (disorder)
http://snomed.info/sct	1179294000	Autosomal dominant distal axonal motor neuropathy, myofibrillar myopathy syndrome (disorder)
http://snomed.info/sct	1179296003	Colobomatous macrophthalmia with microcornea syndrome (disorder)
http://snomed.info/sct	1179386005	Infection of peripheral nerve caused by virus (disorder)
http://snomed.info/sct	1179387001	Infection of cranial nerve caused by virus (disorder)
http://snomed.info/sct	1186656004	Congenital deficiency of cochlear nerve (disorder)
http://snomed.info/sct	1186718008	Neonatal encephalomyopathy, cardiomyopathy, respiratory distress syndrome (disorder)
http://snomed.info/sct	1186796006	Disorder of optic nerve due to micronutrient deficiency (disorder)
http://snomed.info/sct	1186802008	Disorder of nerve due to obesity (disorder)
http://snomed.info/sct	1186827001	Disorder of multiple nerves due to disorder of parathyroid gland (disorder)
http://snomed.info/sct	1186828006	Disorder of peripheral nerve due to multiple micronutrient deficiencies (disorder)
http://snomed.info/sct	1186829003	Disorder of peripheral nerve due to obesity (disorder)
http://snomed.info/sct	1186830008	Peripheral neuropathy caused by lead (disorder)
http://snomed.info/sct	1186838001	Peripheral neuropathy caused by ciguatoxin (disorder)
http://snomed.info/sct	1186841005	Disorder of cranial nerve due to deficiency of micronutrients (disorder)
http://snomed.info/sct	1186853009	Sensory polyneuropathy due to vitamin E deficiency (disorder)
http://snomed.info/sct	1187045009	Aicardi Goutieres syndrome type 1 (disorder)
http://snomed.info/sct	1187046005	Aicardi Goutieres syndrome type 2 (disorder)
http://snomed.info/sct	1187047001	Aicardi Goutieres syndrome type 3 (disorder)
http://snomed.info/sct	1187048006	Aicardi Goutieres syndrome type 4 (disorder)
http://snomed.info/sct	1187049003	Aicardi Goutieres syndrome type 5 (disorder)
http://snomed.info/sct	1187128001	Charcot-Marie-Tooth disease type 2T (disorder)
