"system","code","display","valueset","tf"
"system","code","display","valueset","tf"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148495","crizotinib","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148497","crizotinib oral capsule","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148498","crizotinib 200 mg oral capsule","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148499","xalkori","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148501","crizotinib oral capsule [xalkori]","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148502","xalkori 200 mg oral capsule","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148504","crizotinib 250 mg oral capsule","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1148506","xalkori 250 mg oral capsule","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165616","crizotinib oral product","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1186298","xalkori oral product","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535457","ceritinib","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535459","ceritinib oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535461","ceritinib oral capsule","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535462","ceritinib 150 mg oral capsule","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535463","zykadia","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535465","ceritinib oral capsule [zykadia]","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535466","zykadia oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1535468","zykadia 150 mg oral capsule","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1689336","asp-3026","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727454","alectinib hydrochloride","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727455","alectinib","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727476","alectinib oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727478","alectinib oral capsule","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727479","alectinib 150 mg oral capsule","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727480","alecensa","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727482","alectinib oral capsule [alecensa]","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727483","alecensa oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1727485","alecensa 150 mg oral capsule","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1882035","cep-37440","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921217","brigatinib","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921219","brigatinib oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921221","brigatinib oral tablet","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921222","brigatinib 30 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921223","alunbrig","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921225","brigatinib oral tablet [alunbrig]","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921226","alunbrig oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1921228","alunbrig 30 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1925494","brigatinib 90 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1988768","alunbrig 90 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1988770","brigatinib 180 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1988772","alunbrig 180 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103164","lorlatinib","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103166","lorlatinib oral product","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103168","lorlatinib oral tablet","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103169","lorlatinib 25 mg oral tablet","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103170","lorbrena","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103172","lorlatinib oral tablet [lorbrena]","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103173","lorbrena oral product","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103175","lorbrena 25 mg oral tablet","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103177","lorlatinib 100 mg oral tablet","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2103179","lorbrena 100 mg oral tablet","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105806","gilteritinib","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105808","gilteritinib oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105810","gilteritinib oral tablet","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105811","gilteritinib 40 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105812","xospata","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105814","gilteritinib oral tablet [xospata]","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105815","xospata oral product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105817","gilteritinib 40 mg oral tablet [xospata]","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105823","gilteritinib fumarate","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2110806","crizotinib only product in oral dose form","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2110948","alectinib only product","rx_class_alk","1"
