site,category_code,category_display,histology_code,behavior_code,morphology_code,morphology_display
site,category_code,category_display,histology_code,behavior_code,morphology_code,morphology_display
Lip,800,Neoplasm,8000,3,8000/3,"Neoplasm, Malignant"
Lip,800,Neoplasm,8001,3,8001/3,"Tumor Cells, Malignant"
Lip,800,Neoplasm,8002,3,8002/3,"Malignant Tumor, Small Cell Type"
Lip,800,Neoplasm,8003,3,8003/3,"Malignant Tumor, Giant Cell Type"
Lip,800,Neoplasm,8004,3,8004/3,"Malignant Tumor, Spindle Cell Type"
Lip,800,Neoplasm,8005,3,8005/3,"Malignant Tumor, Clear Cell Type"
Lip,801,"Carcinoma, NOS",8010,2,8010/2,"Carcinoma In Situ, NOS"
Lip,801,"Carcinoma, NOS",8010,3,8010/3,"Carcinoma, NOS"
Lip,801,"Carcinoma, NOS",8011,3,8011/3,"Epithelioma, Malignant"
Lip,801,"Carcinoma, NOS",8012,3,8012/3,"Large Cell Carcinoma, NOS"
Lip,801,"Carcinoma, NOS",8013,3,8013/3,Large Cell Neuroendocrine Carcinoma
Lip,801,"Carcinoma, NOS",8014,3,8014/3,Large Cell Carcinoma With Rhabdoid Phenotype
Lip,801,"Carcinoma, NOS",8015,3,8015/3,Glassy Cell Carcinoma
Lip,802,"Carcinoma, Undiff., NOS",8020,3,8020/3,"Carcinoma, Undifferentiated Type, NOS"
Lip,802,"Carcinoma, Undiff., NOS",8021,3,8021/3,"Carcinoma, Anaplastic Type, NOS"
Lip,802,"Carcinoma, Undiff., NOS",8022,3,8022/3,Pleomorphic Carcinoma
Lip,803,Giant & Spindle Cell Carcinoma,8030,3,8030/3,Giant Cell And Spindle Cell Carcinoma
Lip,803,Giant & Spindle Cell Carcinoma,8031,3,8031/3,Giant Cell Carcinoma
Lip,803,Giant & Spindle Cell Carcinoma,8032,3,8032/3,Spindle Cell Carcinoma
Lip,803,Giant & Spindle Cell Carcinoma,8033,3,8033/3,Pseudosarcomatous Carcinoma
Lip,803,Giant & Spindle Cell Carcinoma,8034,3,8034/3,Polygonal Cell Carcinoma
Lip,803,Giant & Spindle Cell Carcinoma,8035,3,8035/3,Carcinoma With Osteoclast-Like Giant Cells
Lip,805,"Papillary Carcinoma, NOS",8050,2,8050/2,Papillary Carcinoma In Situ
Lip,805,"Papillary Carcinoma, NOS",8050,3,8050/3,"Papillary Carcinoma, NOS"
Lip,805,"Papillary Carcinoma, NOS",8051,3,8051/3,"Verrucous Carcinoma, NOS"
Lip,805,"Papillary Carcinoma, NOS",8052,2,8052/2,"Papillary Squamous Cell Carcinoma, Non-Invasive"
Lip,805,"Papillary Carcinoma, NOS",8052,3,8052/3,Papillary Squamous Cell Carcinoma
Lip,807,"Squamous Cell Carcinoma, NOS",8070,2,8070/2,"Squamous Cell Carcinoma In Situ, NOS"
Lip,807,"Squamous Cell Carcinoma, NOS",8070,3,8070/3,"Squamous Cell Carcinoma, NOS"
Lip,807,"Squamous Cell Carcinoma, NOS",8071,3,8071/3,"Sq. Cell Carcinoma, Keratinizing, NOS"
Lip,807,"Squamous Cell Carcinoma, NOS",8072,3,8072/3,"Sq. Cell Carcinoma, Lg. Cell, Non-Ker."
Lip,807,"Squamous Cell Carcinoma, NOS",8073,3,8073/3,"Sq. Cell Carcinoma, Sm. Cell, Non-Ker."
Lip,807,"Squamous Cell Carcinoma, NOS",8074,3,8074/3,"Sq. Cell Carcinoma, Spindle Cell"
Lip,807,"Squamous Cell Carcinoma, NOS",8075,3,8075/3,"Squamous Cell Carcinoma, Adenoid"
Lip,807,"Squamous Cell Carcinoma, NOS",8076,2,8076/2,Sq. Cell Carc. In Situ With Question. Stromal Invas.
Lip,807,"Squamous Cell Carcinoma, NOS",8076,3,8076/3,"Sq. Cell Carcinoma, Micro-Invasive"
Lip,807,"Squamous Cell Carcinoma, NOS",8078,3,8078/3,Squamous Cell Carcinoma With Horn Formation
Lip,808,Lymphoepithelial Carcinoma,8081,2,8081/2,Bowen Disease
Lip,808,Lymphoepithelial Carcinoma,8082,3,8082/3,Lymphoepithelial Carcinoma
Lip,808,Lymphoepithelial Carcinoma,8083,3,8083/3,Basaloid Squamous Cell Carcinoma
Lip,808,Lymphoepithelial Carcinoma,8084,3,8084/3,"Squamous Cell Carcinoma, Clear Cell Type"
Lip,814,"Adenocarcinoma, NOS",8140,2,8140/2,Adenocarcinoma In Situ
Lip,814,"Adenocarcinoma, NOS",8140,3,8140/3,"Adenocarcinoma, NOS"
Lip,814,"Adenocarcinoma, NOS",8141,3,8141/3,Scirrhous Adenocarcinoma
Lip,814,"Adenocarcinoma, NOS",8143,3,8143/3,Superficial Spreading Adenocarcinoma
Lip,814,"Adenocarcinoma, NOS",8147,3,8147/3,Basal Cell Adenocarcinoma
Lip,820,Adenoid Cystic & Cribriform Ca.,8200,3,8200/3,Adenoid Cystic Carcinoma
Lip,820,Adenoid Cystic & Cribriform Ca.,8201,2,8201/2,Cribriform Carcinoma In Situ
Lip,820,Adenoid Cystic & Cribriform Ca.,8201,3,8201/3,Cribriform Carcinoma
Lip,825,Bronchiolo-Alveolar Adenoca.,8255,3,8255/3,Adenocarcinoma With Mixed Subtypes
Lip,826,"Papillary Adenocarcinoma, NOS",8260,3,8260/3,"Papillary Adenocarcinoma, NOS"
Lip,826,"Papillary Adenocarcinoma, NOS",8261,2,8261/2,Adenocarcinoma In Situ In Villous Adenoma
Lip,826,"Papillary Adenocarcinoma, NOS",8261,3,8261/3,Adenocarcinoma In Villous Adenoma
Lip,826,"Papillary Adenocarcinoma, NOS",8262,3,8262/3,Villous Adenocarcinoma
Lip,826,"Papillary Adenocarcinoma, NOS",8263,2,8263/2,Adenocarcinoma In Situ In Tubulovillous Adenoma
Lip,826,"Papillary Adenocarcinoma, NOS",8263,3,8263/3,Adenocarcinoma In Tubulovillous Adenoma
Lip,843,Mucoepidermoid Carcinoma,8430,3,8430/3,Mucoepidermoid Carcinoma
Lip,848,Mucinous Adenocarcinoma,8480,3,8480/3,Mucinous Adenocarcinoma
Lip,848,Mucinous Adenocarcinoma,8481,3,8481/3,Mucin-Producing Adenocarcinoma
Lip,872,Nevi & Melanomas,8720,2,8720/2,Melanoma In Situ
Lip,872,Nevi & Melanomas,8720,3,8720/3,"Malignant Melanoma, NOS"
Lip,872,Nevi & Melanomas,8721,3,8721/3,Nodular Melanoma
Lip,872,Nevi & Melanomas,8722,3,8722/3,Balloon Cell Melanoma
Lip,872,Nevi & Melanomas,8723,3,8723/3,"Malignant Melanoma, Regressing"
Lip,873,Amelanotic Melanoma,8730,3,8730/3,Amelanotic Melanoma
Lip,874,Mal. Mel. In Junct. Nevus,8743,3,8743/3,Superficial Spreading Melanoma
Lip,874,Mal. Mel. In Junct. Nevus,8745,3,8745/3,"Desmoplastic Melanoma, Malignant"
Lip,874,Mal. Mel. In Junct. Nevus,8746,3,8746/3,Mucosal Lentiginous Melanoma
Lip,877,Epithelioid Cell Melanoma,8770,3,8770/3,Mixed Epithel. & Spindle Cell Melanoma
Lip,877,Epithelioid Cell Melanoma,8771,3,8771/3,Epithelioid Cell Melanoma
Lip,877,Epithelioid Cell Melanoma,8772,3,8772/3,"Spindle Cell Melanoma, NOS"
Lip,894,"Mixed Tumor, Malignant, NOS",8940,3,8940/3,"Mixed Tumor, Malignant, NOS"
Lip,894,"Mixed Tumor, Malignant, NOS",8941,3,8941/3,Carcinoma In Pleomorphic Adenoma
Lip,914,Kaposi Sarcoma,9140,3,9140/3,Kaposi Sarcoma
Lip,969,"Follic. & Marginal Lymph, NOS",9699,3,9699/3,"Marginal Zone B-Cell Lymphoma, NOS"
Lip,982,"Lymphoid Leukemia, NOS",9823,3,9823/3,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
Base Of Tongue,800,Neoplasm,8000,3,8000/3,"Neoplasm, Malignant"
Base Of Tongue,800,Neoplasm,8001,3,8001/3,"Tumor Cells, Malignant"
Base Of Tongue,800,Neoplasm,8002,3,8002/3,"Malignant Tumor, Small Cell Type"
Base Of Tongue,800,Neoplasm,8003,3,8003/3,"Malignant Tumor, Giant Cell Type"
Base Of Tongue,800,Neoplasm,8004,3,8004/3,"Malignant Tumor, Spindle Cell Type"
Base Of Tongue,800,Neoplasm,8005,3,8005/3,"Malignant Tumor, Clear Cell Type"
Base Of Tongue,801,"Carcinoma, NOS",8010,2,8010/2,"Carcinoma In Situ, NOS"
Base Of Tongue,801,"Carcinoma, NOS",8010,3,8010/3,"Carcinoma, NOS"
Base Of Tongue,801,"Carcinoma, NOS",8011,3,8011/3,"Epithelioma, Malignant"
Base Of Tongue,801,"Carcinoma, NOS",8012,3,8012/3,"Large Cell Carcinoma, NOS"
Base Of Tongue,801,"Carcinoma, NOS",8013,3,8013/3,Large Cell Neuroendocrine Carcinoma
Base Of Tongue,801,"Carcinoma, NOS",8014,3,8014/3,Large Cell Carcinoma With Rhabdoid Phenotype
Base Of Tongue,801,"Carcinoma, NOS",8015,3,8015/3,Glassy Cell Carcinoma
Base Of Tongue,802,"Carcinoma, Undiff., NOS",8020,3,8020/3,"Carcinoma, Undifferentiated Type, NOS"
Base Of Tongue,802,"Carcinoma, Undiff., NOS",8021,3,8021/3,"Carcinoma, Anaplastic Type, NOS"
Base Of Tongue,802,"Carcinoma, Undiff., NOS",8022,3,8022/3,Pleomorphic Carcinoma
Base Of Tongue,803,Giant & Spindle Cell Carcinoma,8030,3,8030/3,Giant Cell And Spindle Cell Carcinoma
Base Of Tongue,803,Giant & Spindle Cell Carcinoma,8031,3,8031/3,Giant Cell Carcinoma
Base Of Tongue,803,Giant & Spindle Cell Carcinoma,8032,3,8032/3,Spindle Cell Carcinoma
Base Of Tongue,803,Giant & Spindle Cell Carcinoma,8033,3,8033/3,Pseudosarcomatous Carcinoma
Base Of Tongue,803,Giant & Spindle Cell Carcinoma,8034,3,8034/3,Polygonal Cell Carcinoma
Base Of Tongue,803,Giant & Spindle Cell Carcinoma,8035,3,8035/3,Carcinoma With Osteoclast-Like Giant Cells
Base Of Tongue,805,"Papillary Carcinoma, NOS",8050,2,8050/2,Papillary Carcinoma In Situ
Base Of Tongue,805,"Papillary Carcinoma, NOS",8050,3,8050/3,"Papillary Carcinoma, NOS"
Base Of Tongue,805,"Papillary Carcinoma, NOS",8051,3,8051/3,"Verrucous Carcinoma, NOS"
Base Of Tongue,805,"Papillary Carcinoma, NOS",8052,2,8052/2,"Papillary Squamous Cell Carcinoma, Non-Invasive"
Base Of Tongue,805,"Papillary Carcinoma, NOS",8052,3,8052/3,Papillary Squamous Cell Carcinoma
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8070,2,8070/2,"Squamous Cell Carcinoma In Situ, NOS"
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8070,3,8070/3,"Squamous Cell Carcinoma, NOS"
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8071,3,8071/3,"Sq. Cell Carcinoma, Keratinizing, NOS"
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8072,3,8072/3,"Sq. Cell Carcinoma, Lg. Cell, Non-Ker."
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8073,3,8073/3,"Sq. Cell Carcinoma, Sm. Cell, Non-Ker."
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8074,3,8074/3,"Sq. Cell Carcinoma, Spindle Cell"
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8075,3,8075/3,"Squamous Cell Carcinoma, Adenoid"
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8076,2,8076/2,Sq. Cell Carc. In Situ With Question. Stromal Invas.
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8076,3,8076/3,"Sq. Cell Carcinoma, Micro-Invasive"
Base Of Tongue,807,"Squamous Cell Carcinoma, NOS",8078,3,8078/3,Squamous Cell Carcinoma With Horn Formation
Base Of Tongue,808,Lymphoepithelial Carcinoma,8081,2,8081/2,Bowen Disease
Base Of Tongue,808,Lymphoepithelial Carcinoma,8082,3,8082/3,Lymphoepithelial Carcinoma
