"system","code","display"
"http://loinc.org","LP29684-5","Radiology"
"http://loinc.org","LP29708-2","Cardiology"
"http://loinc.org","LP75011-4","Laboratory"
"http://loinc.org","LP7819-8","Microbiology"
"http://loinc.org","LP7839-6","Pathology"
"http://terminology.hl7.org/CodeSystem/v2-0074","BG","Blood Gases"
"http://terminology.hl7.org/CodeSystem/v2-0074","BLB","Blood Bank"
"http://terminology.hl7.org/CodeSystem/v2-0074","CH","Chemistry"
"http://terminology.hl7.org/CodeSystem/v2-0074","GE","Genetics"
"http://terminology.hl7.org/CodeSystem/v2-0074","HM","Hematology"
"http://terminology.hl7.org/CodeSystem/v2-0074","LAB","Laboratory"
"http://terminology.hl7.org/CodeSystem/v2-0074","MB","Microbiology"
"http://terminology.hl7.org/CodeSystem/v2-0074","RAD","Radiology"
