"system","code","display","tty"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425099","trametinib","IN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425100","trametinib 0.5 MG","SCDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425101","trametinib Oral Product","SCDG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425102","trametinib Pill","SCDG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425103","trametinib Oral Tablet","SCDF"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425104","trametinib 0.5 MG Oral Tablet","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425105","Mekinist","BN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425106","trametinib 0.5 MG [Mekinist]","SBDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425107","trametinib Oral Tablet [Mekinist]","SBDF"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425108","Mekinist Oral Product","SBDG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425109","Mekinist Pill","SBDG"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425110","Mekinist 0.5 MG Oral Tablet","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425111","trametinib 1 MG","SCDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425112","trametinib 1 MG Oral Tablet","SCD"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425113","trametinib 1 MG [Mekinist]","SBDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425114","Mekinist 1 MG (as 1.127 trametinib dimethyl sulfoxide MG) Oral Tablet","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425114","Mekinist 1 MG Oral Tablet","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425114","Mekinist 1 MGOral Tablet","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425114","trametinib 1 MG Oral Tablet [Mekinist]","SBD"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425115","trametinib 2 MG","SCDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425116","trametinib 2 MG (as trametinib dimethyl sulfoxide 2.254 MG) Oral Tablet","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425116","trametinib 2 MG Oral Tablet","SCD"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425116","trametinib 2 MG Oral Tablet","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425117","trametinib 2 MG [Mekinist]","SBDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425118","Mekinist 2 MG (as trametinib dimethyl sulfoxide 2.254 MG) Oral Tablet","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425118","Mekinist 2 MG Oral Tablet","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425118","Mekinist 2 MG Oral Tablet","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","1425118","trametinib 2 MG Oral Tablet [Mekinist]","SBD"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632557","trametinib 0.05 MG/ML","SCDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632558","trametinib Oral Liquid Product","SCDG"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632559","trametinib Oral Solution","SCDF"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632560","trametinib 0.05 MG (equivalent to trametinib dimethyl sulfoxide) per 1 ML Oral Solution","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632560","trametinib 0.05 MG in 1 mL Oral Solution","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632560","trametinib 0.05 MG per 1 ML Oral Solution","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632560","trametinib 0.05 MG/ML Oral Solution","SCD"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632561","trametinib 0.05 MG/ML [Mekinist]","SBDC"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632562","Mekinist Oral Liquid Product","SBDG"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632563","trametinib Oral Solution [Mekinist]","SBDF"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632564","Mekinist 0.05 MG in 1 mL Oral Solution","PSN"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632564","Mekinist 0.05 MG per 1 ML Oral Solution","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632564","Mekinist 0.05 MG/ML Oral Solution","SY"
"http://www.nlm.nih.gov/research/umls/rxnorm","2632564","trametinib 0.05 MG/ML Oral Solution [Mekinist]","SBD"
